地区,年份,x1,x2,x3,y4
北京,2010,0.015252372,0.016113293,0.176721128,0.156 
天津,2010,0.166800522,0.239145651,0.182920902,0.186 
河北,2010,0.066183833,0.14204061,0.008161334,0.045 
山西,2010,0.860557578,0.524542772,0.004037621,0.270 
内蒙古,2010,0.673513562,0.789755155,0.00030548,0.261 
辽宁,2010,0.072727148,0.257373534,0.009562264,0.073 
吉林,2010,0.130877722,0.367277598,0.003899208,0.104 
黑龙江,2010,0.268895804,0.371432727,0.002276636,0.128 
上海,2010,0.000288463,0.02288977,0.526833383,0.436 
江苏,2010,0.023409075,0.024388189,0.051483358,0.047 
浙江,2010,0.01901678,0.037341312,0.026075285,0.026 
安徽,2010,0.226750232,0.112957302,0.013285507,0.083 
福建,2010,0.074835487,0.12141897,0.006621649,0.042 
江西,2010,0.082050137,0.082136739,0.003528179,0.036 
山东,2010,0.10431193,0.078110447,0.030395337,0.050 
河南,2010,0.184856662,0.095273525,0.013509391,0.069 
湖北,2010,0.079349804,0.087218234,0.01155877,0.038 
湖南,2010,0.121869419,0.088186174,0.006328198,0.048 
广东,2010,0.040104675,0.054084848,0.011210348,0.023 
广西,2010,0.055185062,0.123044407,0.003059898,0.038 
海南,2010,0.018398946,0.082901311,0.007534292,0.024 
重庆,2010,0.132054215,0.111294692,0.019285875,0.057 
四川,2010,0.148266066,0.179620607,0.009345627,0.070 
贵州,2010,0.365325798,0.312885947,4.38568E-05,0.140 
云南,2010,0.231436112,0.325884212,0,0.112 
陕西,2010,0.81444358,0.320903453,0.006266737,0.246 
甘肃,2010,0.177663679,0.519488382,0.000211172,0.141 
青海,2010,0.355594176,0.376523118,5.17468E-05,0.147 
宁夏,2010,0.278627148,0.688961364,0.006830573,0.186 
新疆,2010,0.40430294,0.567221614,0.000656662,0.185 
北京,2011,0.015169079,0.013760808,0.197015054,0.173 
天津,2011,0.144309434,0.154845823,0.198869757,0.190 
河北,2011,0.065505615,0.129487,0.009140054,0.042 
山西,2011,0.928957954,0.541378587,0.004879361,0.284 
内蒙古,2011,0.709464809,0.620099973,0.000447213,0.249 
辽宁,2011,0.068196405,0.172352686,0.011735767,0.053 
吉林,2011,0.149157045,0.238145554,0.004648391,0.080 
黑龙江,2011,0.250129448,0.298738452,0.002416312,0.112 
上海,2011,0.000102848,0.010785627,0.580135231,0.472 
江苏,2011,0.020592421,0.026533652,0.065961462,0.060 
浙江,2011,0.016183275,0.040222586,0.029748804,0.029 
安徽,2011,0.221288212,0.080858644,0.015802945,0.079 
福建,2011,0.058985345,0.098518639,0.007704022,0.034 
江西,2011,0.084039767,0.077803063,0.005461783,0.036 
山东,2011,0.097352195,0.079172743,0.03479726,0.051 
河南,2011,0.155371411,0.086742464,0.015648371,0.060 
湖北,2011,0.063925611,0.069717017,0.013264911,0.031 
湖南,2011,0.125814862,0.087934054,0.007959278,0.050 
广东,2011,0.037734532,0.040819629,0.01584606,0.022 
广西,2011,0.046126618,0.116344059,0.003517058,0.035 
海南,2011,0.019445296,0.117191984,0.008474593,0.033 
重庆,2011,0.108708403,0.094211678,0.024443224,0.050 
四川,2011,0.141279894,0.184239934,0.00939784,0.069 
贵州,2011,0.281070908,0.381996158,0.000190941,0.132 
云南,2011,0.232630813,0.282084202,6.49456E-05,0.105 
陕西,2011,0.850065367,0.306634525,0.006738274,0.253 
甘肃,2011,0.170794363,0.404235957,0.000307663,0.117 
青海,2011,0.288221305,0.520070691,6.68449E-05,0.157 
宁夏,2011,0.281756296,0.661366977,0.00717438,0.182 
新疆,2011,0.367574862,0.581213616,0.000826169,0.181 
北京,2012,0.014971882,0.019815948,0.212738152,0.187 
天津,2012,0.130024744,0.143329454,0.231038938,0.215 
河北,2012,0.071097613,0.131179921,0.010301265,0.044 
山西,2012,0.923623152,0.556071921,0.006095942,0.284 
内蒙古,2012,0.665370173,0.536119578,0.000712593,0.232 
辽宁,2012,0.060966669,0.174441221,0.013182579,0.052 
吉林,2012,0.137133719,0.255585873,0.005120768,0.081 
黑龙江,2012,0.228979518,0.305529145,0.002527347,0.109 
上海,2012,0.000131032,0.01166256,0.647529215,0.516 
江苏,2012,0.020625084,0.037187587,0.081677337,0.074 
浙江,2012,0.020447296,0.044991782,0.033949193,0.034 
安徽,2012,0.218975087,0.094847105,0.017936259,0.080 
福建,2012,0.059945734,0.101382079,0.009833409,0.035 
江西,2012,0.081065616,0.061223053,0.007269698,0.033 
山东,2012,0.098614625,0.081292307,0.038657738,0.053 
河南,2012,0.117045293,0.073195959,0.017559738,0.048 
湖北,2012,0.071056552,0.056304785,0.015553139,0.032 
湖南,2012,0.135650896,0.077969499,0.008078893,0.051 
广东,2012,0.038747865,0.043106782,0.018387277,0.024 
广西,2012,0.052019789,0.119445728,0.003969782,0.037 
海南,2012,0.016965796,0.127411828,0.009558688,0.036 
重庆,2012,0.095565697,0.118905441,0.029356711,0.053 
四川,2012,0.139664409,0.175475057,0.010144949,0.067 
贵州,2012,0.302964854,0.227028771,0.000360858,0.114 
云南,2012,0.230681024,0.295515677,0.000167566,0.107 
陕西,2012,0.881230019,0.286400821,0.007144236,0.259 
甘肃,2012,0.173864081,0.483854331,0.000549139,0.133 
青海,2012,0.299405734,0.59444895,8.33338E-05,0.172 
宁夏,2012,0.283600337,0.609439831,0.008750717,0.173 
新疆,2012,0.33832521,0.620074299,0.000983173,0.182 
北京,2013,0.01723665,0.022257189,0.224081917,0.197 
天津,2013,0.133293109,0.174608656,0.253706673,0.236 
河北,2013,0.052447327,0.143720422,0.0118508,0.044 
山西,2013,0.796581441,0.537786841,0.007269847,0.259 
内蒙古,2013,0.756272075,0.630772112,0.000802217,0.259 
辽宁,2013,0.056947543,0.16699515,0.016160305,0.051 
吉林,2013,0.098376644,0.208866331,0.005838972,0.065 
黑龙江,2013,0.230189887,0.250697619,0.002755148,0.100 
上海,2013,0.000104672,0.007359173,0.704529542,0.550 
江苏,2013,0.020597057,0.036100945,0.093614405,0.084 
浙江,2013,0.01767644,0.051670448,0.042712181,0.041 
安徽,2013,0.195467992,0.080555506,0.020939091,0.072 
